From_Stop,To_Stop,Duration,Cost,Mode
Stop 1,Stop 5,4,8.0,Metro
Stop 5,Stop 10,4,7.0,Metro
Stop 10,Stop 15,4,8.0,Metro
Stop 1,Stop 2,6,2.0,Bus
Stop 2,Stop 3,5,1.0,Bus
Stop 3,Stop 4,4,1.0,Bus
Stop 4,Stop 8,7,2.0,Bus
Stop 8,Stop 12,6,1.0,Bus
Stop 12,Stop 13,4,1.0,Walking
Stop 13,Stop 15,5,1.0,Bus
Stop 1,Stop 3,5,4.0,Metro
Stop 3,Stop 6,5,3.0,Metro
Stop 6,Stop 10,5,3.0,Metro
Stop 10,Stop 12,3,2.0,Bus
Stop 12,Stop 15,3,3.0,Metro
Stop 2,Stop 5,4,3.0,Metro
Stop 3,Stop 5,3,5.0,Metro
Stop 5,Stop 6,4,2.0,Bus
Stop 6,Stop 7,4,2.0,Bus
Stop 7,Stop 11,4,2.0,Bus
Stop 11,Stop 14,4,2.0,Bus
Stop 14,Stop 15,4,2.0,Bus
Stop 5,Stop 9,5,2.0,Walking
Stop 9,Stop 10,4,2.0,Walking
Stop 9,Stop 14,5,3.0,Metro
Stop 6,Stop 8,4,2.0,Bus
Stop 8,Stop 11,4,1.0,Walking
Stop 11,Stop 12,5,1.0,Bus
Stop 7,Stop 12,5,2.0,Metro
Stop 8,Stop 13,5,2.0,Bus
Stop 10,Stop 14,4,4.0,Metro
Stop 15,Stop 16,4,3.0,Bus
Stop 16,Stop 17,6,2.0,Metro
Stop 17,Stop 18,4,2.0,Bus
Stop 18,Stop 19,4,2.0,Bus
Stop 19,Stop 20,5,1.0,Metro
Stop 20,Stop 21,4,2.0,Walking
Stop 21,Stop 22,4,7.0,Bus
Stop 22,Stop 23,6,3.0,Bus
Stop 23,Stop 24,4,1.0,Bus
Stop 24,Stop 25,5,2.0,Metro
Stop 6,Stop 23,4,3.0,Bus
Stop 14,Stop 11,4,3.0,Bus
Stop 9,Stop 5,5,3.0,Bus
Stop 7,Stop 25,4,1.0,Walking
Stop 11,Stop 4,5,2.0,Bus
Stop 3,Stop 13,4,2.0,Bus
Stop 4,Stop 12,4,2.0,Walking
Stop 12,Stop 20,6,1.0,Metro
Stop 9,Stop 2,5,1.0,Bus
